test case,benchmark name,samples,iterations,estimated,mean,low mean,high mean,std dev,low std dev,high std dev,tags,raw
normalizing a fully mergeable tiling of boxes - 2,"large, embedded in 3d",100,1,4178500,41390.2500,41242.2700,41683.4200,1024.4056,579.7130,1598.4347,"benchmark,group:grid","41136.0000,41206.0000,42889.0000,41607.0000,41437.0000,46226.0000,41336.0000,41347.0000,41186.0000,41196.0000,41006.0000,41347.0000,41296.0000,41116.0000,41226.0000,40935.0000,41116.0000,41387.0000,41316.0000,41177.0000,41406.0000,41106.0000,41076.0000,41307.0000,41056.0000,41086.0000,41176.0000,41166.0000,41086.0000,45885.0000,41187.0000,41066.0000,41166.0000,40946.0000,41226.0000,40986.0000,41106.0000,41096.0000,41286.0000,40996.0000,40966.0000,41186.0000,41006.0000,41537.0000,40886.0000,41136.0000,41286.0000,41257.0000,41005.0000,41286.0000,40926.0000,41086.0000,41537.0000,47638.0000,41647.0000,41287.0000,41456.0000,41157.0000,41046.0000,41456.0000,41237.0000,41376.0000,41196.0000,41317.0000,40875.0000,41015.0000,41136.0000,41035.0000,41056.0000,40916.0000,41136.0000,41096.0000,40936.0000,41276.0000,41015.0000,41157.0000,41086.0000,45023.0000,41136.0000,41116.0000,41307.0000,41136.0000,41286.0000,41157.0000,41256.0000,41066.0000,41156.0000,41136.0000,41046.0000,41217.0000,40955.0000,41106.0000,41076.0000,40995.0000,41247.0000,41106.0000,41336.0000,41146.0000,41197.0000,41276.0000"
normalizing a fully mergeable tiling of boxes - 3,"small, native",100,97,2502600,250.3887,249.5568,252.4203,6.2164,2.2345,10.8755,"benchmark,group:grid","247.7629,249.1134,270.0825,250.1443,249.6289,249.3196,249.6289,247.8763,249.5258,249.5258,249.3196,249.2165,249.3196,247.7629,249.3196,249.7320,249.5258,249.3196,249.1134,247.8763,249.0103,249.1134,249.3196,249.5258,288.9794,248.7010,247.1546,249.6289,250.2474,249.7320,249.7320,250.3505,248.8041,250.2474,250.1443,249.8351,249.9381,250.2474,250.0412,247.4536,249.7320,249.4124,249.4124,249.7320,250.3505,247.6598,249.5258,249.5258,249.8351,249.6289,249.4227,247.8660,250.3505,249.7320,249.6289,249.8351,250.3505,247.6598,250.1443,250.1443,250.2474,249.5258,247.7732,247.8660,250.3608,293.0103,249.3196,249.2062,249.6289,250.0412,246.7320,249.1134,249.3196,248.8041,248.5979,249.1134,248.3918,250.0412,249.2165,249.4227,250.3505,250.0412,248.3918,249.9381,249.5258,249.1134,249.3196,249.8351,247.6701,249.9381,249.9381,249.7320,249.4227,249.3196,248.5979,250.2474,250.1443,249.8351,250.2474,250.2577"
normalizing a fully mergeable tiling of boxes - 3,"medium, native",100,18,2556000,1491.2456,1485.1639,1505.4489,46.0784,26.7357,73.0570,"benchmark,group:grid","1747.6111,1487.1667,1546.1111,1478.7778,1484.9444,1478.7778,1483.2222,1480.5000,1481.0556,1481.5556,1478.2778,1483.2778,1479.3333,1483.2778,1483.8333,1478.7778,1470.5000,1482.6667,1477.1111,1477.7222,1480.4444,1478.2778,1481.6111,1477.6667,1481.0556,1748.7778,1488.2778,1484.8889,1483.2778,1484.9444,1476.5556,1484.3889,1482.7222,1486.6111,1479.8889,1483.2222,1482.1667,1489.3889,1484.3889,1490.5000,1483.7778,1487.1111,1481.0556,1474.8889,1484.8889,1484.3889,1482.1667,1486.0556,1483.2222,1485.5000,1481.0556,1486.0556,1482.1111,1487.1111,1482.7222,1479.9444,1475.4444,1483.2778,1484.9444,1482.1111,1485.4444,1484.3889,1485.5000,1753.2222,1483.8333,1483.2222,1486.6111,1484.9444,1486.0556,1482.1667,1478.7778,1473.2778,1482.1111,1480.5000,1479.9444,1473.2222,1479.3889,1480.4444,1479.9444,1487.1667,1484.9444,1487.7222,1479.8889,1481.0556,1482.1667,1483.2222,1490.5000,1485.5000,1487.1667,1484.9444,1486.0556,1482.1111,1483.2222,1479.9444,1479.3333,1488.2222,1474.3889,1489.3889,1484.9444,1488.2778"
normalizing a fully mergeable tiling of boxes - 3,"large, native",100,1,4773600,47483.8900,47268.6300,47790.4600,1299.0488,999.0970,1810.2396,"benchmark,group:grid","47238.0000,46616.0000,54020.0000,50374.0000,48971.0000,48149.0000,47628.0000,46797.0000,49953.0000,49772.0000,49192.0000,47908.0000,47187.0000,47017.0000,46867.0000,46336.0000,46687.0000,46577.0000,46366.0000,50544.0000,46115.0000,46416.0000,46567.0000,46456.0000,46486.0000,46386.0000,46407.0000,46336.0000,46396.0000,46326.0000,46396.0000,46236.0000,46205.0000,46406.0000,46265.0000,46376.0000,46256.0000,46456.0000,46376.0000,49181.0000,51866.0000,48900.0000,48621.0000,47598.0000,47478.0000,47348.0000,47488.0000,47238.0000,47418.0000,47208.0000,48309.0000,47158.0000,47168.0000,47127.0000,47308.0000,47187.0000,48029.0000,47197.0000,47288.0000,47228.0000,47999.0000,51175.0000,47138.0000,48049.0000,47298.0000,47027.0000,47047.0000,47358.0000,47238.0000,46867.0000,47889.0000,46877.0000,48069.0000,47208.0000,47268.0000,48229.0000,47118.0000,46837.0000,47298.0000,47979.0000,47227.0000,47098.0000,51195.0000,46967.0000,47248.0000,47188.0000,47408.0000,47277.0000,47108.0000,47248.0000,47147.0000,47067.0000,47007.0000,46827.0000,47287.0000,47147.0000,47047.0000,47158.0000,47358.0000,47007.0000"
performing set operations between randomized regions - 2d,"union, small, native",100,29,2540400,876.0217,867.9841,907.3031,70.2355,15.1065,149.9185,"benchmark,group:grid","864.3103,866.4138,917.8966,875.0345,883.0000,871.2414,870.5517,993.5517,872.2759,860.8621,866.0690,869.8621,875.3793,867.1034,870.8966,870.5517,864.0000,867.4138,872.2759,870.5172,873.6552,868.4828,867.4138,867.4483,858.1034,866.7241,865.3793,864.3448,865.0000,865.7241,864.0000,861.2069,863.3103,863.9655,867.4138,866.7586,863.6552,866.0345,865.0345,857.0690,863.6552,871.2414,865.3793,865.3448,862.9310,866.7586,1003.5517,860.2069,865.6897,867.1034,867.7931,867.1034,865.0000,867.0690,865.3793,859.1379,865.0345,865.7241,865.7241,867.0690,867.1034,867.4483,860.5172,867.1034,866.7586,866.4138,866.4138,862.2414,866.4138,866.0690,858.7931,866.4138,865.0000,865.0345,867.4483,866.0690,866.7241,858.8276,867.4483,865.6897,866.7586,866.7586,865.0345,864.6552,864.3448,857.4138,1547.0000,879.1724,867.1034,861.8966,858.1379,865.6897,863.6552,867.4483,866.4138,863.6207,866.4138,856.3793,867.1034,866.4138"
performing set operations between randomized regions - 2d,"union, small, embedded in 3d",100,25,2522500,1247.5376,1198.3068,1299.1048,257.4378,249.3968,272.0588,"benchmark,group:grid","1008.6400,1011.4400,1598.9600,1536.0400,1520.0000,1520.4000,1525.6400,1716.7600,1518.4400,1525.2000,1515.6000,1511.6000,1525.6000,1517.2000,1513.5600,1525.6400,1514.8000,1512.0000,1522.4000,1511.2000,1514.4000,1520.0000,1522.4000,1513.2000,1512.0000,1523.2000,1511.9600,1514.4000,1526.0400,1513.6000,1512.0000,1524.4000,1512.0000,1728.8000,1531.2400,1516.0000,1515.2000,1520.0000,1514.0000,1517.2000,1521.2000,1515.2000,1513.6000,1515.6000,1522.4400,1515.6000,1473.9200,1260.7200,1097.6000,1010.2400,1009.0400,1010.2400,1010.6400,1010.6400,1007.8400,1007.8400,1003.8000,1013.0800,1010.2400,1007.0000,1011.8800,1009.8400,1007.8000,1005.4400,1005.8400,1011.8400,1165.3200,1009.8000,1010.2400,1012.6400,1009.0400,1006.6000,1002.6000,1009.0400,1010.2400,1008.6400,1009.8400,1011.8400,1006.2400,1007.8400,1005.0400,1013.4400,1011.4400,1010.2400,1012.2400,1009.0400,1005.8400,1006.6400,1004.2000,1011.8400,1009.0400,1009.0400,1007.8400,1010.2400,1010.2400,999.4400,1007.8400,1007.8400,1010.6400,1009.4400"
performing set operations between randomized regions - 2d,"intersection, small, native",100,113,2497300,224.4883,223.6816,226.5663,5.8716,1.1001,10.6804,"benchmark,group:grid","223.7699,221.9027,231.9292,226.1681,223.5929,223.4159,224.5664,224.0354,223.8584,224.0354,224.5752,222.6106,223.9469,221.9912,223.5044,223.7699,223.6814,223.7699,223.8584,223.8584,223.2389,222.5221,223.7699,223.7699,223.8584,223.6814,223.7699,223.8584,267.8407,223.7699,221.9027,223.8584,223.6814,223.7699,223.9469,223.7699,223.5929,223.1504,222.3451,223.9469,223.9469,223.5929,223.8584,223.6814,223.7699,221.8230,223.6814,223.7699,223.8584,223.5044,223.8584,223.7699,224.0354,221.9115,223.5929,223.5929,224.1239,223.5929,224.0354,223.8584,223.7699,222.0000,223.6814,223.9469,223.7699,223.5929,223.7699,261.7257,224.2124,223.9469,221.8230,223.5929,223.7699,223.6814,223.8584,223.7699,223.8584,223.8584,221.8230,223.8584,223.5044,223.8584,223.8584,224.0354,223.6814,223.7699,221.7345,224.0354,223.6814,223.6814,223.5929,223.9469,223.5929,222.0885,223.7699,223.5929,223.5044,224.0354,223.7699,224.0442"
performing set operations between randomized regions - 2d,"intersection, small, embedded in 3d",100,101,2514900,250.0549,248.8676,252.2834,7.9422,4.0478,12.0144,"benchmark,group:grid","250.1584,248.4752,287.7525,250.7525,249.8614,250.4554,247.2772,247.7822,248.2673,248.3663,248.4752,248.5743,248.7624,247.7822,245.7921,249.1683,248.7723,248.1683,249.0693,248.2772,287.7525,249.2673,246.6832,248.6733,248.7723,248.3762,248.3663,248.3762,248.8713,248.4752,246.3861,248.8713,248.2673,248.4752,248.6733,248.5743,248.8614,246.1980,247.9703,248.1782,248.4752,248.6634,247.9802,248.9703,248.3762,246.2871,248.8713,248.6634,248.5743,248.3762,249.0693,248.8614,245.8020,248.8614,248.4752,247.9802,249.1683,248.9604,249.0693,248.3762,292.0198,246.2871,248.1782,248.6733,248.8614,248.2673,248.6733,248.7723,246.6832,248.0792,249.1584,249.0594,248.3762,249.1683,249.3663,248.5644,246.4851,248.2673,248.1683,249.0693,248.9703,249.0693,249.4554,246.3861,248.9703,248.4653,249.1683,249.4653,249.0693,248.9703,248.2673,246.9901,248.9703,248.8614,249.8515,248.7723,248.8713,249.3663,246.3861,287.0594"
performing set operations between randomized regions - 2d,"difference, small, native",100,28,2528400,904.4521,900.2739,914.1196,31.0124,16.8003,49.4468,"benchmark,group:grid","896.9643,897.3214,956.3929,906.6786,906.2857,912.7143,907.7500,899.1429,900.8929,899.8214,900.2143,903.0714,899.1429,1078.7857,903.4286,899.8571,898.7500,899.8214,898.4286,897.0000,896.2857,895.1786,901.2857,898.0714,900.5714,896.2857,898.3929,896.2500,897.3571,897.0000,899.1071,896.2500,899.8571,898.7857,897.3571,896.6071,896.2857,897.3571,895.9286,898.7500,897.7143,895.5714,898.0714,898.7500,896.6429,895.5714,897.0000,895.8929,897.7143,897.7143,898.4286,897.3214,1087.3571,896.2857,897.3571,898.7857,895.5357,898.0714,896.6429,897.7143,895.1786,897.7143,896.6429,898.7857,898.0357,898.7857,899.8571,898.7857,898.7857,897.3214,896.9643,900.9286,899.1429,897.0000,898.0714,897.6786,898.4286,897.0000,898.7857,898.0714,898.0357,898.4286,898.7857,899.5000,898.4286,898.7857,895.8929,898.0714,898.7857,898.0714,897.6786,898.7500,1064.4643,897.0000,897.3214,898.0357,898.7857,900.9286,899.5000,898.4286"
performing set operations between randomized regions - 2d,"difference, small, embedded in 3d",100,21,2499000,1206.3814,1199.3443,1220.9610,49.4702,28.5537,84.2733,"benchmark,group:grid","1190.7619,1185.4762,1544.7619,1354.3810,1317.6667,1225.0476,1251.3333,1219.3810,1225.0952,1207.9048,1189.8095,1202.6667,1195.4762,1192.1429,1193.6190,1201.7143,1201.2381,1188.8095,1195.0476,1196.0000,1193.5714,1194.5714,1192.6667,1195.9524,1417.3810,1191.7143,1195.4762,1196.4762,1192.6667,1195.9524,1198.3810,1194.5714,1193.1429,1190.7143,1197.9048,1196.9524,1190.7143,1194.5714,1196.0000,1196.4286,1195.9524,1190.7619,1195.0000,1194.5238,1196.0000,1196.0000,1193.0952,1197.4286,1188.3810,1200.2857,1198.3333,1196.0000,1195.5238,1199.3333,1193.5714,1192.6667,1186.9048,1197.4286,1198.8571,1196.4762,1191.6667,1193.0952,1196.4762,1391.0952,1187.9048,1196.9524,1192.6190,1191.2381,1194.5238,1199.7619,1194.5714,1192.1905,1187.8571,1194.0952,1197.4286,1193.5714,1192.1905,1196.0000,1202.1905,1185.4762,1191.2381,1192.6190,1196.9524,1193.6190,1190.2381,1198.3810,1191.2381,1190.2381,1195.5238,1192.6190,1192.6190,1195.0476,1191.1905,1196.0000,1184.0476,1197.4286,1192.1905,1195.5238,1197.3810,1196.4762"
performing set operations between randomized regions - 2d,"union, medium, native",100,2,2658800,13328.0550,13273.9600,13446.6850,391.8375,215.9339,621.1054,"benchmark,group:grid","13334.5000,13279.0000,14040.5000,13359.5000,13269.5000,13219.0000,13274.0000,13224.5000,13194.0000,13304.0000,13244.5000,15568.5000,13179.0000,13229.0000,13209.0000,13184.0000,13224.0000,13199.0000,13244.0000,13159.0000,13179.0000,13334.0000,13219.5000,13184.0000,13219.0000,13334.5000,13239.0000,13224.0000,13239.5000,13274.0000,13244.0000,13234.5000,13124.0000,13284.0000,13349.5000,13254.0000,13194.0000,13239.0000,13234.0000,13164.0000,13134.0000,13189.0000,13154.0000,13129.0000,13304.5000,13274.0000,13264.5000,13294.0000,15333.0000,13344.0000,13284.5000,13294.0000,13364.5000,13239.0000,13264.5000,13239.0000,13239.5000,13209.0000,13294.0000,13349.5000,13309.5000,13299.0000,13284.5000,13289.0000,13329.5000,13329.5000,13259.0000,13259.0000,13309.5000,13204.0000,13244.0000,13274.0000,13229.0000,13214.0000,13274.0000,13349.5000,13229.0000,13299.5000,13249.0000,13329.5000,13369.0000,13209.5000,13274.0000,13279.5000,13154.0000,13254.0000,15553.5000,13219.0000,13249.5000,13199.0000,13284.0000,13164.0000,13234.5000,13169.0000,13224.0000,13334.5000,13279.0000,13309.5000,13339.5000,13239.0000"
performing set operations between randomized regions - 2d,"union, medium, embedded in 3d",100,2,2966600,14884.2600,14827.6400,15011.0200,413.0411,228.0819,668.9468,"benchmark,group:grid","14812.0000,14817.0000,15523.5000,14777.0000,17026.5000,14742.0000,14857.0000,14862.5000,14897.0000,14847.5000,14782.0000,14782.0000,14742.0000,14817.0000,14792.0000,14842.0000,14897.5000,14747.0000,14727.0000,14792.0000,14802.0000,14867.5000,14812.0000,14812.0000,14827.5000,14762.0000,14747.0000,14767.0000,14797.0000,14862.5000,14912.0000,14862.5000,14867.0000,14797.5000,14777.0000,14787.0000,14767.0000,14757.0000,17452.5000,14862.0000,14682.0000,14797.0000,14717.0000,14707.0000,14712.0000,14732.0000,14762.0000,14772.0000,14742.0000,14812.0000,14797.5000,14812.0000,14832.0000,14777.0000,14742.0000,14752.0000,14792.0000,14772.0000,14782.0000,14837.0000,14817.0000,14877.0000,14797.5000,14817.0000,14812.0000,14827.5000,14837.0000,14812.0000,14887.5000,14967.5000,14792.0000,17026.5000,14862.0000,14787.0000,14752.0000,14767.5000,14872.0000,14832.0000,14842.0000,14837.0000,14837.5000,14767.0000,14857.0000,14807.5000,14962.0000,14897.5000,14862.5000,14782.0000,14877.0000,14762.0000,14772.5000,14807.0000,14827.0000,14727.0000,14737.0000,14682.0000,14847.0000,14877.0000,14827.0000,14777.5000"
performing set operations between randomized regions - 2d,"intersection, medium, native",100,11,2604800,2357.9518,2349.2845,2379.5509,62.3728,9.7464,113.1063,"benchmark,group:grid","2339.7273,2357.9091,2386.1818,2347.0000,2353.3636,2346.0909,2351.5455,2359.8182,2361.5455,2345.1818,2357.0000,2370.7273,2354.2727,2358.8182,2360.7273,2350.6364,2350.6364,2346.0909,2344.2727,2347.0000,2347.0000,2367.0909,2365.1818,2352.4545,2342.3636,2357.9091,2369.7273,2354.3636,2345.1818,2366.0909,2343.3636,2374.3636,2347.0000,2347.0000,2374.2727,2343.3636,2352.4545,2346.0909,2776.0000,2344.2727,2341.5455,2346.0909,2343.3636,2339.7273,2347.0000,2346.0909,2359.7273,2347.0000,2347.9091,2335.0909,2338.8182,2337.0000,2336.0909,2336.0909,2340.6364,2347.0000,2341.5455,2339.7273,2345.1818,2342.4545,2338.8182,2352.4545,2344.2727,2342.4545,2339.7273,2339.7273,2347.0000,2338.8182,2337.9091,2342.4545,2347.9091,2341.5455,2337.9091,2345.1818,2341.5455,2345.1818,2356.0909,2802.4545,2353.3636,2354.2727,2349.7273,2359.8182,2358.8182,2357.0000,2360.7273,2354.2727,2366.0909,2348.8182,2346.0909,2338.8182,2342.4545,2346.0909,2349.8182,2347.9091,2344.2727,2340.6364,2345.1818,2341.5455,2340.6364,2345.1818"
performing set operations between randomized regions - 2d,"intersection, medium, embedded in 3d",100,12,2595600,2160.7450,2153.3542,2177.7192,55.9442,31.5969,90.5668,"benchmark,group:grid","2149.7500,2148.9167,2201.5000,2158.0833,2160.5833,2158.1667,2156.4167,2157.2500,2150.5833,2151.4167,2152.2500,2159.0000,2153.0833,2154.7500,2156.4167,2470.3333,2151.4167,2147.2500,2143.0833,2133.9167,2153.0833,2148.0833,2144.7500,2157.2500,2154.7500,2152.2500,2157.2500,2159.7500,2136.4167,2148.0833,2149.7500,2143.0833,2153.9167,2150.5833,2151.4167,2158.0833,2143.0833,2135.5833,2141.4167,2147.2500,2154.7500,2150.5833,2146.4167,2143.0833,2143.0833,2146.4167,2137.1667,2147.2500,2143.9167,2139.7500,2149.7500,2153.9167,2148.0833,2149.7500,2496.2500,2155.5833,2148.9167,2154.0000,2166.4167,2160.5833,2157.2500,2153.9167,2150.5833,2146.4167,2151.4167,2153.9167,2141.4167,2152.2500,2152.2500,2153.9167,2149.7500,2156.4167,2152.2500,2151.4167,2151.4167,2140.5000,2160.6667,2150.5833,2151.4167,2148.0833,2145.5833,2153.0833,2152.2500,2158.9167,2138.0833,2147.2500,2152.2500,2150.5833,2150.5833,2149.7500,2153.9167,2153.1667,2459.5000,2148.0833,2139.6667,2148.0000,2156.4167,2153.0833,2149.7500,2153.0833"
performing set operations between randomized regions - 2d,"difference, medium, native",100,4,3219600,7400.3775,7366.2400,7471.0350,238.9000,128.0072,380.3551,"benchmark,group:grid","7346.0000,7373.5000,8039.7500,7441.0000,7386.0000,8570.7500,7353.5000,7371.0000,7363.5000,7381.0000,7356.0000,7358.5000,7338.2500,7338.5000,7336.0000,7361.0000,7368.5000,7331.0000,7356.0000,7363.5000,7320.7500,7346.0000,7343.5000,7338.5000,7345.7500,7363.2500,7295.7500,7331.0000,7305.7500,7311.0000,7318.2500,7361.0000,7361.0000,7338.5000,7371.0000,7283.2500,7348.2500,7346.0000,7338.5000,8873.7500,7363.5000,7373.5000,7356.0000,7368.5000,7323.5000,7353.5000,7371.0000,7353.5000,7331.0000,7373.5000,7340.7500,7356.0000,7333.5000,7348.5000,7343.5000,7313.2500,7436.2500,7361.0000,7341.0000,7338.2500,7358.5000,7381.0000,7358.5000,7348.5000,7376.0000,7373.5000,7373.5000,7366.0000,7306.0000,7356.0000,7328.2500,7321.0000,7333.5000,8620.7500,7356.0000,7361.0000,7338.5000,7371.0000,7371.0000,7366.0000,7351.0000,7341.0000,7358.5000,7330.7500,7356.0000,7358.5000,7348.5000,7351.0000,7361.0000,7338.5000,7393.5000,7351.0000,7343.5000,7378.5000,7340.7500,7381.2500,7368.5000,7381.0000,7396.0000,7391.0000"
performing set operations between randomized regions - 2d,"difference, medium, embedded in 3d",100,3,2502900,8710.8633,8674.8500,8785.5533,253.4674,141.2234,401.0527,"benchmark,group:grid","8605.6667,8622.3333,9353.6667,8692.3333,8725.6667,8656.0000,8575.6667,8715.6667,8649.3333,8739.0000,8655.6667,8689.0000,10001.6667,8719.3333,8679.3333,8695.6667,8646.0000,8649.0000,8739.3333,8619.0000,8652.3333,8646.0000,8639.0000,8695.6667,8632.6667,8685.6667,8666.0000,8652.3333,8669.0000,8662.3333,8682.3333,8679.3333,8675.6667,8656.0000,8652.3333,8692.6667,8632.3333,8722.6667,8719.0000,8649.3333,8669.0000,8729.3333,8632.3333,8722.6667,8665.6667,8672.6667,8612.3333,8692.6667,8639.0000,8625.6667,8629.0000,10041.6667,8632.3333,8675.6667,8669.3333,8705.6667,8632.3333,8592.0000,8685.6667,8662.3333,8622.3333,8609.0000,8732.6667,8672.3333,8639.0000,8682.6667,8659.0000,8666.0000,8709.0000,8595.6667,8649.3333,8629.0000,8655.6667,8696.0000,8659.0000,8699.3333,8669.0000,8595.6667,8699.3333,8625.6667,8635.6667,8659.3333,8642.3333,8672.3333,8672.3333,8682.3333,8649.3333,8709.0000,8595.6667,10199.0000,8635.6667,8649.0000,8635.6667,8702.6667,8639.0000,8605.6667,8639.3333,8652.3333,8625.6667,8639.0000"
performing set operations between randomized regions - 2d,"union, large, native",100,1,15787700,158035.2100,157683.2800,158775.1300,2486.9989,1487.8598,4830.7432,"benchmark,group:grid","177194.0000,157897.0000,159811.0000,157036.0000,157487.0000,161454.0000,156635.0000,156855.0000,157327.0000,157316.0000,156375.0000,156826.0000,161644.0000,157457.0000,156936.0000,157276.0000,157317.0000,157036.0000,161284.0000,157537.0000,156845.0000,156666.0000,157126.0000,156956.0000,161654.0000,157026.0000,157717.0000,157286.0000,157056.0000,156996.0000,157547.0000,161294.0000,156685.0000,157196.0000,157607.0000,157187.0000,156975.0000,161825.0000,157416.0000,157046.0000,156946.0000,157407.0000,157076.0000,161544.0000,157267.0000,157126.0000,157517.0000,156875.0000,156836.0000,157507.0000,162005.0000,157257.0000,157216.0000,157467.0000,157356.0000,157627.0000,161124.0000,157517.0000,157497.0000,157306.0000,156996.0000,157056.0000,161495.0000,157266.0000,157898.0000,156945.0000,157177.0000,157296.0000,156916.0000,161434.0000,157757.0000,156756.0000,156855.0000,157236.0000,157186.0000,161204.0000,156826.0000,156845.0000,157256.0000,156915.0000,157287.0000,162005.0000,156826.0000,156855.0000,157096.0000,157808.0000,157136.0000,157206.0000,159621.0000,156966.0000,157236.0000,156866.0000,156996.0000,157076.0000,161935.0000,156665.0000,157377.0000,157086.0000,157828.0000,157056.0000"
performing set operations between randomized regions - 2d,"union, large, embedded in 3d",100,1,17172000,162843.3100,162472.2600,163342.0900,2183.5967,1773.1317,2670.9976,"benchmark,group:grid","161835.0000,161514.0000,166825.0000,163027.0000,161905.0000,161845.0000,161744.0000,168819.0000,161965.0000,161464.0000,161845.0000,161925.0000,162125.0000,167145.0000,161384.0000,161524.0000,161394.0000,161765.0000,161645.0000,166895.0000,161855.0000,161294.0000,161995.0000,161595.0000,161795.0000,166804.0000,162226.0000,161655.0000,163899.0000,161544.0000,162026.0000,168277.0000,161975.0000,161525.0000,161694.0000,162205.0000,162276.0000,166133.0000,162036.0000,161755.0000,161704.0000,161684.0000,161996.0000,166904.0000,161585.0000,161675.0000,162005.0000,161965.0000,161905.0000,161714.0000,166735.0000,161795.0000,162085.0000,161785.0000,161464.0000,161795.0000,170963.0000,161785.0000,161935.0000,162306.0000,162076.0000,161795.0000,166874.0000,162216.0000,161765.0000,162206.0000,162055.0000,162206.0000,169109.0000,161875.0000,162085.0000,162226.0000,162006.0000,161614.0000,168057.0000,161595.0000,162115.0000,161615.0000,162156.0000,161444.0000,167556.0000,161564.0000,162336.0000,161795.0000,161535.0000,161915.0000,167436.0000,162306.0000,161895.0000,161665.0000,161955.0000,161875.0000,166073.0000,162026.0000,161614.0000,161845.0000,162366.0000,161805.0000,162066.0000,166674.0000"
performing set operations between randomized regions - 2d,"intersection, large, native",100,2,4323000,21294.5200,21241.0050,21396.7950,363.2378,201.1987,544.5069,"benchmark,group:grid","21259.5000,21189.5000,21725.0000,21164.0000,21299.0000,21179.5000,21229.0000,21189.0000,21294.5000,21159.0000,21324.5000,21119.0000,21209.5000,21209.5000,21279.0000,21144.5000,21219.0000,21324.5000,21169.5000,21284.5000,21239.0000,21284.5000,21239.5000,21364.5000,22907.5000,21249.5000,21099.0000,21339.5000,21089.0000,21219.5000,21184.0000,21229.5000,21159.0000,21159.0000,21284.0000,21199.5000,21194.0000,21149.5000,21374.5000,21174.0000,21244.5000,21189.5000,21254.0000,21184.5000,21159.0000,21224.5000,21159.0000,23228.0000,21234.5000,21259.5000,21119.0000,21299.5000,21164.0000,21219.5000,21204.0000,21329.5000,21194.0000,21284.5000,21084.0000,21269.5000,21184.0000,21289.5000,21139.0000,21169.5000,21144.0000,21129.0000,21269.5000,21169.5000,21209.0000,21159.5000,21269.0000,22902.5000,21279.5000,21114.0000,21234.5000,21219.5000,21279.0000,21189.0000,21234.5000,21199.0000,21099.0000,21289.5000,21204.5000,21259.5000,21154.0000,21259.5000,21194.0000,21264.5000,21129.0000,21239.5000,21224.5000,21254.0000,21164.5000,21294.5000,23062.5000,21304.5000,21214.5000,21159.0000,21304.5000,21179.0000"
performing set operations between randomized regions - 2d,"intersection, large, embedded in 3d",100,2,4068000,20193.7750,20132.1100,20303.4800,409.4818,243.1496,617.5834,"benchmark,group:grid","20162.0000,20052.5000,20643.0000,20277.5000,20132.5000,20317.5000,20167.5000,20132.0000,22056.0000,20312.5000,20032.0000,20092.5000,20037.0000,20362.5000,19997.0000,20342.5000,20137.5000,20017.0000,20047.0000,19997.0000,19932.0000,20132.0000,19997.0000,20352.5000,19942.0000,20077.0000,20037.0000,20087.0000,20082.0000,20017.0000,20042.0000,20187.5000,20072.0000,21785.5000,20217.5000,20097.0000,20287.5000,19952.0000,20112.0000,20127.0000,19997.0000,19977.0000,19967.0000,20282.5000,19982.0000,20082.0000,20227.5000,19896.5000,19937.0000,20287.5000,20002.0000,20352.5000,20292.5000,20077.0000,20067.0000,20072.0000,20398.0000,19997.0000,21950.5000,20107.0000,19961.5000,20082.5000,20212.0000,20077.5000,20102.0000,19972.0000,19987.0000,19972.0000,19957.0000,20067.0000,19977.0000,20192.0000,20372.5000,19987.0000,20242.5000,20112.0000,20102.0000,20132.0000,19952.0000,20267.5000,20047.0000,20172.5000,22501.5000,20007.0000,20052.0000,20277.5000,19912.0000,20412.5000,20172.0000,20172.5000,20082.0000,20202.5000,20077.0000,20032.0000,20232.5000,20202.5000,20002.0000,20047.0000,20187.5000,20057.0000"
performing set operations between randomized regions - 2d,"difference, large, native",100,1,61900500,606698.0100,606115.2900,607261.0400,2921.4413,2686.8595,3188.3858,"benchmark,group:grid","607320.0000,603172.0000,607280.0000,611959.0000,603252.0000,607190.0000,607450.0000,602682.0000,609824.0000,602531.0000,607841.0000,608412.0000,603632.0000,608402.0000,602491.0000,606568.0000,608923.0000,607000.0000,607680.0000,604305.0000,608893.0000,610265.0000,603894.0000,611598.0000,609194.0000,603462.0000,611689.0000,603322.0000,609404.0000,611478.0000,603012.0000,610476.0000,603412.0000,610776.0000,608232.0000,603663.0000,608382.0000,602351.0000,607590.0000,609675.0000,603833.0000,608502.0000,604555.0000,609805.0000,607891.0000,602371.0000,608201.0000,607601.0000,606458.0000,607761.0000,603052.0000,608492.0000,608723.0000,602882.0000,609283.0000,603714.0000,608882.0000,612219.0000,601679.0000,607531.0000,602000.0000,608281.0000,608382.0000,602672.0000,608652.0000,602942.0000,609704.0000,608242.0000,602782.0000,608462.0000,602330.0000,608022.0000,608472.0000,602331.0000,606548.0000,603242.0000,607801.0000,607871.0000,602481.0000,609174.0000,606849.0000,602130.0000,608012.0000,606919.0000,609464.0000,609624.0000,602682.0000,610025.0000,607981.0000,608773.0000,608652.0000,603994.0000,609514.0000,602752.0000,608883.0000,609374.0000,603623.0000,607420.0000,602811.0000,607811.0000"
